OBJECTID,NUEVOS_CASOS,TOTAL_CASOS,TOTAL_MUERTES,TOTAL_RECUPERADOS,FECHA_ACTUALIZACION,GlobalID,NUEVOS_MUERTOS,NUEVO_RECUPERADOS
656,3171,60217,1950,22680,2020/06/18 05:00:00+00,653d768a-5247-4679-a273-980755716e9d,86,1354
657,3059,63276,2045,23988,2020/06/19 05:00:00+00,66682951-13cd-488c-bfbd-0625ce6e3bf5,95,1308
658,2357,65633,2126,25499,2020/06/20 05:00:00+00,b96613af-73cf-4057-87b0-d2bcbba0e0f4,81,1511
659,3019,68652,2273,27360,2020/06/21 05:00:00+00,0e556b03-dde4-4035-935a-494840a45c6b,147,1861
660,2531,71183,2310,28968,2020/06/22 05:00:00+00,4a8e0016-b583-4540-8809-3e217ce9efdb,37,1608
661,2389,73572,2404,30459,2020/06/23 05:00:00+00,ec2d610c-1f38-4698-baec-0f910c147554,94,1491
662,3541,77113,2491,31671,2020/06/24 05:00:00+00,b628abcd-5ead-402d-9d53-2304dfb4e8d9,87,1212
663,3486,80599,2654,33349,2020/06/25 05:00:00+00,bf174d8f-8a9c-4030-8ca5-364547285734,163,1678
664,3843,84442,2811,34937,2020/06/26 05:00:00+00,d8cf45c9-4f8c-4312-991e-1c9fa152daba,157,1588
665,4149,88591,2939,36273,2020/06/27 05:00:00+00,7c1e1fc9-4d49-44fa-8eb1-d13b0df75b9c,128,1336
666,3178,91769,3106,38280,2020/06/28 05:00:00+00,a633454c-0564-4450-bb8d-99c8d9c8f161,167,2007
667,3274,95043,3223,39954,2020/06/29 05:00:00+00,52961b7f-ed22-483f-8569-9dab5ef86646,117,1674
668,2803,97846,3334,42073,2020/06/30 05:00:00+00,d46bbdcf-6e13-42af-b21d-e68ae22757d8,111,2119
669,4163,102009,3470,43407,2020/07/01 05:00:00+00,6e6638f0-3b20-4511-a22d-d212e761928b,136,1334
670,4101,106110,3641,44531,2020/07/02 05:00:00+00,db5a2ee3-9f7d-42c3-bb93-6c5690cfef6e,171,1124
671,3395,109505,3777,45334,2020/07/03 05:00:00+00,63e745d2-53ea-4a26-b362-00e9dae73db2,136,803
672,3884,113389,3942,46563,2020/07/04 05:00:00+00,18e0e060-c0d7-42cc-9d1b-10be17e56f80,165,1229
673,3721,117110,4064,47881,2020/07/05 05:00:00+00,e1ddfc24-c485-48c2-bb8c-bdb2c1785b91,122,1318
674,3171,120281,4210,50372,2020/07/06 05:00:00+00,a21aa78e-46b2-456c-a584-97dc17e76612,146,2491
675,4213,124494,4359,51861,2020/07/07 05:00:00+00,29731845-fbe3-4904-baa1-d00c20128f45,149,1489
676,4144,128638,4527,53634,2020/07/08 05:00:00+00,676db5b7-9d0d-42d3-b8af-6cc4bcbbe996,168,1773
677,5335,133973,4714,56272,2020/07/09 05:00:00+00,0b8b3880-f192-4af8-8368-6db16985ad70,187,2638
678,6803,140776,4925,58800,2020/07/10 05:00:00+00,662b0e5d-60e3-4afa-b9e6-c77fdf47cf6c,211,2528
679,4586,145362,5119,61186,2020/07/11 05:00:00+00,a7731b5e-85b0-4ab2-ad7a-f380615d4777,194,2386
680,5083,150445,5307,63451,2020/07/12 05:00:00+00,449ed152-fd2c-4956-bb59-9da834a2efcf,188,2265
681,3832,154277,5455,65809,2020/07/13 05:00:00+00,713124c8-86f5-4a0c-bfc7-df5351eb5bcf,148,2358
682,5621,159898,5625,68806,2020/07/14 05:00:00+00,1652d00a-488d-4f1d-9f4e-0e4e0ce5b206,170,2997
683,5271,165169,5814,71738,2020/07/15 05:00:00+00,db6209d0-9879-4ca8-bdbc-c6c039fc73e5,189,2932
684,8037,173206,6029,76164,2020/07/16 05:00:00+00,f7d7962e-ee83-4fc6-8a8a-446bda6f8cd0,215,4426
685,8934,182140,6288,80637,2020/07/17 05:00:00+00,3ba2a764-a7ff-4f34-83a0-8d16a916e437,259,4473
686,8560,190700,6516,85836,2020/07/18 05:00:00+00,3bc88fea-3a70-47d8-82dd-c5abd6d9c49e,228,5199
687,6578,197278,6736,91793,2020/07/19 05:00:00+00,352c09c0-eb87-4fe7-a474-333fbf1bfb18,220,5957
688,6727,204005,6929,95804,2020/07/20 05:00:00+00,3fd89d30-be49-4091-812d-040c7c7deb8e,193,4011
689,7033,211038,7166,98840,2020/07/21 05:00:00+00,11e30a83-efef-4fc0-819a-7f3e4adc14ed,237,3036
690,7390,218428,7373,101613,2020/07/22 05:00:00+00,1b692d07-af1d-43de-9267-2ae221bb8239,207,2773
691,7945,226373,7688,107951,2020/07/23 05:00:00+00,11ff45e6-8133-41f4-b4f8-f0c18a20490f,315,6338
692,7168,233541,7975,113864,2020/07/24 05:00:00+00,628cfaaf-0a26-48a9-a1fd-47e1312b33f9,287,5913
693,7254,240795,8269,119667,2020/07/25 05:00:00+00,b0d9e553-3b59-4366-b4e2-01541e10c51e,294,5803
694,8181,248976,8525,125037,2020/07/26 05:00:00+00,f0559828-5307-4433-b27a-95aeda3d4a49,256,5370
695,8125,257101,8777,131161,2020/07/27 05:00:00+00,ff4fd660-af56-424c-96de-0eac88b97bcb,252,6124
696,10284,267385,9074,136690,2020/07/28 05:00:00+00,e76e454f-25db-45b3-9b68-3b4b1499dbdb,297,5529
697,8670,276055,9454,142777,2020/07/29 05:00:00+00,f78b3688-8005-451c-baca-e2dfeacbe039,380,6087
698,9965,286020,9810,148695,2020/07/30 05:00:00+00,823bd136-f93e-42ad-81f3-873296b12e74,356,5918
699,9488,295508,10105,154387,2020/07/31 05:00:00+00,5dea4965-83ea-4a7a-92e7-ef1169a0377c,295,5692
700,10673,306181,10330,160708,2020/08/01 05:00:00+00,624fc6d6-2406-44e1-a83b-7e4e79de38d7,225,6321
701,11470,317651,10650,167239,2020/08/02 05:00:00+00,e25cd5ad-4924-463d-a690-f8ed00502c6f,320,6531
702,10199,327850,11017,173727,2020/08/03 05:00:00+00,6f81df80-a1f8-4c51-989b-fbf23a282eba,367,6488
703,7129,334979,11315,180258,2020/08/04 05:00:00+00,151bc087-3a63-43c7-9c95-e7041bd190ca,298,6531
